SN#,业务IP地址,网络掩码,业务网关,iLO接口地址,网络掩码,iLO网关地址,设备配置,"H3C SO#
（HPE PO）",HPE SO,台数
6CU7315W9M,10.21.13.17,255.255.255.128,10.21.13.126,172.25.13.17,255.255.255.128,172.25.13.126,A1,1000007856,7700554493,50
6CU7315W9T,10.21.13.18,255.255.255.128,10.21.13.126,172.25.13.18,255.255.255.128,172.25.13.126,A1,,,
6CU7315WA0,10.21.13.19,255.255.255.128,10.21.13.126,172.25.13.19,255.255.255.128,172.25.13.126,A1,,,
6CU7315WA5,10.21.13.20,255.255.255.128,10.21.13.126,172.25.13.20,255.255.255.128,172.25.13.126,A1,,,
6CU7315WAA,10.21.13.21,255.255.255.128,10.21.13.126,172.25.13.21,255.255.255.128,172.25.13.126,A1,,,
6CU7315WAF,10.21.13.22,255.255.255.128,10.21.13.126,172.25.13.22,255.255.255.128,172.25.13.126,A1,,,
6CU7315WAM,10.21.13.23,255.255.255.128,10.21.13.126,172.25.13.23,255.255.255.128,172.25.13.126,A1,,,
6CU7315WAT,10.21.13.24,255.255.255.128,10.21.13.126,172.25.13.24,255.255.255.128,172.25.13.126,A1,,,
6CU7315WB0,10.21.13.25,255.255.255.128,10.21.13.126,172.25.13.25,255.255.255.128,172.25.13.126,A1,,,
6CU7315WB9,10.21.13.26,255.255.255.128,10.21.13.126,172.25.13.26,255.255.255.128,172.25.13.126,A1,,,
6CU7315WBL,10.21.13.27,255.255.255.128,10.21.13.126,172.25.13.27,255.255.255.128,172.25.13.126,A1,,,
6CU7315WBX,10.21.13.28,255.255.255.128,10.21.13.126,172.25.13.28,255.255.255.128,172.25.13.126,A1,,,
6CU7315WC9,10.21.13.29,255.255.255.128,10.21.13.126,172.25.13.29,255.255.255.128,172.25.13.126,A1,,,
6CU7315WCL,10.21.13.30,255.255.255.128,10.21.13.126,172.25.13.30,255.255.255.128,172.25.13.126,A1,,,
6CU7315WCY,10.21.13.31,255.255.255.128,10.21.13.126,172.25.13.31,255.255.255.128,172.25.13.126,A1,,,
6CU7315WD8,10.21.13.32,255.255.255.128,10.21.13.126,172.25.13.32,255.255.255.128,172.25.13.126,A1,,,
6CU7315WDL,10.21.13.33,255.255.255.128,10.21.13.126,172.25.13.33,255.255.255.128,172.25.13.126,A1,,,
6CU7315WDY,10.21.13.34,255.255.255.128,10.21.13.126,172.25.13.34,255.255.255.128,172.25.13.126,A1,,,
6CU7315WE9,10.21.13.35,255.255.255.128,10.21.13.126,172.25.13.35,255.255.255.128,172.25.13.126,A1,,,
6CU7315WEK,10.21.13.36,255.255.255.128,10.21.13.126,172.25.13.36,255.255.255.128,172.25.13.126,A1,,,
6CU7315WEX,10.21.13.37,255.255.255.128,10.21.13.126,172.25.13.37,255.255.255.128,172.25.13.126,A1,,,
6CU7315WF9,10.21.13.38,255.255.255.128,10.21.13.126,172.25.13.38,255.255.255.128,172.25.13.126,A1,,,
6CU7315WFL,10.21.13.39,255.255.255.128,10.21.13.126,172.25.13.39,255.255.255.128,172.25.13.126,A1,,,
6CU7315WFY,10.21.13.40,255.255.255.128,10.21.13.126,172.25.13.40,255.255.255.128,172.25.13.126,A1,,,
6CU7315WH9,10.21.13.41,255.255.255.128,10.21.13.126,172.25.13.41,255.255.255.128,172.25.13.126,A1,,,
6CU7315WHK,10.21.13.42,255.255.255.128,10.21.13.126,172.25.13.42,255.255.255.128,172.25.13.126,A1,,,
6CU7315WJ3,10.21.13.43,255.255.255.128,10.21.13.126,172.25.13.43,255.255.255.128,172.25.13.126,A1,,,
6CU7315WJK,10.21.13.44,255.255.255.128,10.21.13.126,172.25.13.44,255.255.255.128,172.25.13.126,A1,,,
6CU7315WK4,10.21.13.45,255.255.255.128,10.21.13.126,172.25.13.45,255.255.255.128,172.25.13.126,A1,,,
6CU7315WKN,10.21.13.46,255.255.255.128,10.21.13.126,172.25.13.46,255.255.255.128,172.25.13.126,A1,,,
6CU7315WL6,10.21.13.47,255.255.255.128,10.21.13.126,172.25.13.47,255.255.255.128,172.25.13.126,A1,,,
6CU7315WLM,10.21.13.48,255.255.255.128,10.21.13.126,172.25.13.48,255.255.255.128,172.25.13.126,A1,,,
6CU7315WM3,10.21.13.49,255.255.255.128,10.21.13.126,172.25.13.49,255.255.255.128,172.25.13.126,A1,,,
6CU7315WMJ,10.21.13.50,255.255.255.128,10.21.13.126,172.25.13.50,255.255.255.128,172.25.13.126,A1,,,
6CU7315WN2,10.21.13.51,255.255.255.128,10.21.13.126,172.25.13.51,255.255.255.128,172.25.13.126,A1,,,
6CU7315WNK,10.21.13.52,255.255.255.128,10.21.13.126,172.25.13.52,255.255.255.128,172.25.13.126,A1,,,
6CU7315WP2,10.21.13.53,255.255.255.128,10.21.13.126,172.25.13.53,255.255.255.128,172.25.13.126,A1,,,
6CU7315WPM,10.21.13.54,255.255.255.128,10.21.13.126,172.25.13.54,255.255.255.128,172.25.13.126,A1,,,
6CU7315WR6,10.21.13.55,255.255.255.128,10.21.13.126,172.25.13.55,255.255.255.128,172.25.13.126,A1,,,
6CU7315WRN,10.21.13.56,255.255.255.128,10.21.13.126,172.25.13.56,255.255.255.128,172.25.13.126,A1,,,
6CU7315WS6,10.21.13.57,255.255.255.128,10.21.13.126,172.25.13.57,255.255.255.128,172.25.13.126,A1,,,
6CU7315WSR,10.21.13.58,255.255.255.128,10.21.13.126,172.25.13.58,255.255.255.128,172.25.13.126,A1,,,
6CU7315WT8,10.21.13.59,255.255.255.128,10.21.13.126,172.25.13.59,255.255.255.128,172.25.13.126,A1,,,
6CU7315WTR,10.21.13.60,255.255.255.128,10.21.13.126,172.25.13.60,255.255.255.128,172.25.13.126,A1,,,
6CU7315WV9,10.21.13.61,255.255.255.128,10.21.13.126,172.25.13.61,255.255.255.128,172.25.13.126,A1,,,
6CU7315WVT,10.21.13.62,255.255.255.128,10.21.13.126,172.25.13.62,255.255.255.128,172.25.13.126,A1,,,
6CU7315WWB,10.21.13.63,255.255.255.128,10.21.13.126,172.25.13.63,255.255.255.128,172.25.13.126,A1,,,
6CU7315WWW,10.21.13.64,255.255.255.128,10.21.13.126,172.25.13.64,255.255.255.128,172.25.13.126,A1,,,
6CU7315WXB,10.21.13.65,255.255.255.128,10.21.13.126,172.25.13.65,255.255.255.128,172.25.13.126,A1,,,
6CU7315WXV,10.21.13.66,255.255.255.128,10.21.13.126,172.25.13.66,255.255.255.128,172.25.13.126,A1,,,
